# 2026 WorldTeam rosters, from English Wikipedia "List of 2026 UCI WorldTeams and riders" (CC BY-SA 4.0), fetched 2026-09-25.
# Used offline by: npm run build:real. Refresh from Wikipedia with: npm run build:real:wiki
# Format: "## Team name" then: Name | NAT (IOC) | birth year | type. Types come from Wikipedia rider types or ratings.csv.

## Alpecin–Premier Tech
Marc Soler | ESP | 1993 | climber
Pablo Torres | ESP | 2005 | climber
Kevin Vermaerke | USA | 2000 | puncheur
Florian Vermeersch | BEL | 1999 | cobbles
Jay Vine | AUS | 1995 | climber
Tim Wellens | BEL | 1991 | puncheur
Adam Yates | GBR | 1992 | gc

## Uno-X Mobility
Jonas Abrahamsen | NOR | 1995 | puncheur
Carl-Frederik Bévort | DEN | 2003 | rouleur
Erlend Blikra | NOR | 1997 | rouleur
William Blume Levy | DEN | 2001 | rouleur
Sven Erik Bystrøm | NOR | 1992 | rouleur
Anthon Charmig | DEN | 1998 | puncheur
Magnus Cort | DEN | 1993 | puncheur
Simon Dalby | DEN | 2003 | rouleur
Fredrik Dversnes | NOR | 1997 | rouleur
Stian Fredheim | NOR | 2003 | cobbles
Markus Hoelgaard | NOR | 1994 | puncheur
Ådne Holter | NOR | 2000 | rouleur
Jonas Iversby Hvideberg | NOR | 1999 | rouleur
Storm Ingebrigtsen | NOR | 2005 | rouleur
Anders Halland Johannessen | NOR | 1999 | climber
Tobias Halland Johannessen | NOR | 1999 | gc
Alexander Kamp | DEN | 1993 | rouleur
Andreas Kron | DEN | 1998 | puncheur
Johannes Kulset | NOR | 2004 | climber
Andreas Leknessund | NOR | 1999 | gc
Sakarias Koller Løland | NOR | 2001 | rouleur
Henrik Pedersen | DEN | 2004 | rouleur
Erik Nordsæter Resell | NOR | 1996 | rouleur
Anders Skaarseth | NOR | 1995 | rouleur
Tobias Svarre | DEN | 2004 | rouleur
Rasmus Tiller | NOR | 1996 | cobbles
Martin Tjøtta | NOR | 2001 | climber
Torstein Træen | NOR | 1995 | climber
Martin Urianstad | NOR | 1999 | rouleur
Søren Wærenskjold | NOR | 2000 | tt

## Visma–Lease a Bike
Edoardo Affini | ITA | 1996 | tt
Bruno Armirail | FRA | 1994 | tt
Louis Barré | FRA | 2000 | puncheur
Niklas Behrens | GER | 2003 | sprinter
Matthew Brennan | GBR | 2005 | sprinter
Victor Campenaerts | BEL | 1991 | rouleur
Owain Doull | GBR | 1993 | rouleur
Filippo Fiorelli | ITA | 1994 | rouleur
Tijmen Graat | NED | 2003 | rouleur
Per Strand Hagenes | NOR | 2003 | puncheur
Menno Huising | NED | 2004 | rouleur
Matteo Jorgenson | USA | 1999 | gc
Wilco Kelderman | NED | 1991 | gc
Timo Kielich | BEL | 1999 | puncheur
Steven Kruijswijk | NED | 1987 | gc
Sepp Kuss | USA | 1994 | climber
Christophe Laporte | FRA | 1992 | cobbles
Bart Lemmen | NED | 1995 | climber
Pietro Mattio | ITA | 2004 | rouleur
Jørgen Nordhagen | NOR | 2005 | climber
Davide Piganzoli | ITA | 2002 | climber
Tim Rex | BEL | 2004 | rouleur
Anton Schiffer | GER | 1999 | climber
Ben Tulett | GBR | 2001 | climber
Wout van Aert | BEL | 1994 | cobbles
Loe van Belle | NED | 2002 | rouleur
Jonas Vingegaard | DEN | 1996 | gc
Axel Zingle | FRA | 1998 | puncheur

## XDS Astana Team
Davide Ballerini | ITA | 1994 | cobbles
Alberto Bettiol | ITA | 1993 | cobbles
Clément Champoussin | FRA | 1998 | puncheur
Nicola Conci | ITA | 1997 | rouleur
Yevgeniy Fedorov | KAZ | 2000 | rouleur
Lorenzo Fortunato | ITA | 1996 | climber
Aaron Gate | NZL | 1990 | rouleur
Lev Gonov | RUS | 2000 | rouleur
Sergio Higuita | COL | 1997 | climber
Florian Samuel Kajamini | ITA | 2003 | climber
Max Kanter | GER | 1997 | sprinter
Anton Kuzmin | KAZ | 1996 | rouleur
Arjen Livyns | BEL | 1994 | rouleur
Harold Martín López | ECU | 2000 | climber
Matteo Malucelli | ITA | 1993 | sprinter
Henok Mulubrhan | ERI | 1999 | puncheur
Cristián Rodríguez | ESP | 1995 | climber
Alessandro Romele | ITA | 2003 | rouleur
Christian Scaroni | ITA | 1997 | puncheur
Marco Schrettl | AUT | 2003 | rouleur
Guillermo Thomas Silva | URU | 2001 | puncheur
Su Haoyu | CHN | 2000 | rouleur
Gleb Syritsa | RUS | 2000 | sprinter
Harold Tejada | COL | 1997 | climber
Mike Teunissen | NED | 1992 | cobbles
Davide Toneatti | ITA | 2001 | rouleur
Diego Ulissi | ITA | 1989 | puncheur
Darren van Bekkum | NED | 2002 | climber
Simone Velasco | ITA | 1995 | puncheur
Nicolas Vinokurov | KAZ | 2002 | puncheur
